id,sentence1,sentence2,label,sentence1_clean,sentence2_clean
167933,"Wendy Turnbull defeated Tracy Austin 6 -- 7 , 6 -- 4 , 6 -- 2","Wendy Wendy Turnbull defeated Tracy Austin 6 -- 7 , 6 -- 4 , 6 -- 2",1,wendy turnbull defeated tracy austin 6 7 6 4 6 2,wendy wendy turnbull defeated tracy austin 6 7 6 4 6 2
360234,"Other buildings of the Tennessee Supreme Court are located in Jackson and Knoxville , and the Knoxville Supreme Court building is also listed in the national register .",Other Supreme Court buildings are located in Jackson and Knoxville . The Tennessee Supreme Court building in Knoxville is also listed on the National Register .,0,building tennessee supreme court located jackson knoxville knoxville supreme court building also listed national register,supreme court building located jackson knoxville tennessee supreme court building knoxville also listed national register
277262,"for the release of Ibrahim Halawa , an Irish citizen from South Dublin in Egypt who was imprisoned in Firhouse between 2013 and 2017 ,","release of Ibrahim Halawa , an Irish citizen from South Dublin in Egypt , who was imprisoned in Firhouse between 2013 and 2017 ,",1,release ibrahim halawa irish citizen south dublin egypt imprisoned firhouse 2013 2017,release ibrahim halawa irish citizen south dublin egypt imprisoned firhouse 2013 2017
640151,"These solvents tend to be relatively immensible , therefore they are effective with water and unpolar in cleaning applications such as degreasing and dry cleaning .",These solvents tend to be relatively non-polar ; they are therefore immiscible with water and effective in cleaning applications such as degreasing and dry cleaning .,0,solvent tend relatively immensible therefore effective water unpolar cleaning application degreasing dry cleaning,solvent tend relatively nonpolar therefore immiscible water effective cleaning application degreasing dry cleaning
80566,Nested CES functions are commonly found in general equilibrium and partial equilibrium models .,Nested CES functions are frequently found in general equilibrium and partial equilibrium models .,1,nested ce function commonly found general equilibrium partial equilibrium model,nested ce function frequently found general equilibrium partial equilibrium model
644175,"Other mountain ranges surrounding the Santa Cruz Valley include the Santa Rita Mountains , the Rincon Mountains , the Tucson Mountains , and the Tortolita Mountains .","Other mountain ranges surrounding the Santa Cruz valley include Santa Rita Mountains , the Rincon Mountains , the Tucson Mountains and the Tortolita Mountains .",1,mountain range surrounding santa cruz valley include santa rita mountain rincon mountain tucson mountain tortolita mountain,mountain range surrounding santa cruz valley include santa rita mountain rincon mountain tucson mountain tortolita mountain
31185,"It was released exclusively for the Nintendo 64 in November 1998 for North America , and later in 1999 for Europe .",It was published exclusively for the Nintendo 64 for North America in November 1998 and for Europe later in 1999 .,1,released exclusively nintendo 64 november 1998 north america later 1999 europe,published exclusively nintendo 64 north america november 1998 europe later 1999
557793,Small Leukin - rich Proteoglycan is a protein that is encoded in humans by the TSKU gene .,"Tsukushi , small leucine rich proteoglycan is a protein that in humans is encoded by the TSKU gene .",1,small leukin rich proteoglycan protein encoded human tsku gene,tsukushi small leucine rich proteoglycan protein human encoded tsku gene
114689,"In 1986 , original guitarist Frank Aresti left the band and was replaced by Victor Arduini .","In 1986 , the original guitarist Victor Arduini left the band and was replaced by Frank Aresti .",0,1986 original guitarist frank aresti left band replaced victor arduini,1986 original guitarist victor arduini left band replaced frank aresti
487762,Outlaw was released in November 2001 and acquired by the Phoenix Suns .,Outlaw was acquired in November 2001 and was released by the Phoenix Suns .,0,outlaw released november 2001 acquired phoenix sun,outlaw acquired november 2001 released phoenix sun
131779,"Since there is no Neolithic break between the late Neolithic and early Chalcolithic , each researcher must decide what is definite and what the early Chalcolithic is .","Since there is no Neolithic break between Late Neolithic and Early Chalcolithic , each researcher must decide what is definitive and what is Early Chalcolithic .",1,since neolithic break late neolithic early chalcolithic researcher must decide definite early chalcolithic,since neolithic break late neolithic early chalcolithic researcher must decide definitive early chalcolithic
514392,"Bogardus is in the National Trapshooting Hall of Fame . He died in 1913 in Lincoln , Logan Co. , Illinois and is buried in Elkhart , Illinois .","Bogardus is in the National Trapshooting Hall of Fame , he died in Elkhart , Illinois , Logan Co . , Illinois in 1913 and is buried in Lincoln .",0,bogardus national trapshooting hall fame died 1913 lincoln logan co illinois buried elkhart illinois,bogardus national trapshooting hall fame died elkhart illinois logan co illinois 1913 buried lincoln
34189,"Baxter was probably the father of two next generation actors , Richard Baxter and another John Baxter .","Baxter was probably the father of two actors of the next generation , Richard Baxter and another John Baxter .",1,baxter probably father two next generation actor richard baxter another john baxter,baxter probably father two actor next generation richard baxter another john baxter
398818,The overhead line was original and was electrified at 1500 V DC by using long lines .,"The original line was long , and was electrified at 1500 V DC using overhead lines .",0,overhead line original electrified 1500 v dc using long line,original line long electrified 1500 v dc using overhead line
148703,"At the same time , the death of Nellie Farren and retirement of Fred Leslie by 1892 helped bring to an end the era of Gaiety burlesque .","At the same time , the death of Nellie Farren and retirement of Fred Leslie of 1892 helped to end the era of Gaiety Burlesque .",1,time death nellie farren retirement fred leslie 1892 helped bring end era gaiety burlesque,time death nellie farren retirement fred leslie 1892 helped end era gaiety burlesque
15660,"Besullo is a municipality ( administrative division ) in Allande , a community in the province and autonomous community of Asturias , in northern Spain .","Besullo is a parish ( administrative division ) in Allande , a municipality within the province and autonomous community of Asturias , in northern Spain .",1,besullo municipality administrative division allande community province autonomous community asturias northern spain,besullo parish administrative division allande municipality within province autonomous community asturias northern spain
58903,This type of model was proposed by Li ( 1988 ) and extended to handle categorical covariates by Racine and Robinson ( 2007 ) .,This type of model was proposed by Li ( 1988 ) and extended by Racine and Robinson ( 2007 ) to categorial covariates .,1,type model proposed li 1988 extended handle categorical covariates racine robinson 2007,type model proposed li 1988 extended racine robinson 2007 categorial covariates
61293,"From 1905 to 1941 , Neale Roach 's daughter Hilda lived in the house with husband Simon and Hannah .",Simon and Hannah 's daughter Hilda lived at the house with husband Neale Roach from 1905 to 1941 .,0,1905 1941 neale roach daughter hilda lived house husband simon hannah,simon hannah daughter hilda lived house husband neale roach 1905 1941
317819,"The General Consulate of Indonesia in Vancouver is Indonesia 's diplomatic mission in Vancouver , British Columbia , Canada .","The Consulate General of Vancouver in Vancouver , British Columbia , Canada is Indonesia 's diplomatic mission in Indonesia .",0,general consulate indonesia vancouver indonesia diplomatic mission vancouver british columbia canada,consulate general vancouver vancouver british columbia canada indonesia diplomatic mission indonesia
579186,Risk calculations become much more realistic under a variety of conditions .,Calculations of risk become much more complex under a realistic variety of conditions .,0,risk calculation become much realistic variety condition,calculation risk become much complex realistic variety condition
69505,"The green seed pods , seeds , young leaves and shoots are all edible .","The edible seed casts , seeds , green leaves and shoots are all young .",0,green seed pod seed young leaf shoot edible,edible seed cast seed green leaf shoot young
627987,"The new cluster - school concept , combined with a more intensive focus on the surrounding rural environment , influenced the new physical master plan .","The new cluster school concept , coupled with a more intense focus on the surrounding rural environment , influenced the new physical master plan .",1,new cluster school concept combined intensive focus surrounding rural environment influenced new physical master plan,new cluster school concept coupled intense focus surrounding rural environment influenced new physical master plan
365626,"77 is an Indian reserve in Saskatchewan , Manitoba , shared by 33 bands - governments from Saskatchewan and Canada .","77 is an Indian Reserve in Saskatchewan , Canada , shared by 33 band governments from Saskatchewan and Manitoba .",0,77 indian reserve saskatchewan manitoba shared 33 band government saskatchewan canada,77 indian reserve saskatchewan canada shared 33 band government saskatchewan manitoba
175669,Mosquitor was designed by NECA as part of Series 6 of the `` Masters of the Universe `` series of ministatues released by Four Horsemen Studios .,Mosquitor was designed by NECA as part of the series 6 of the `` Masters of the Universe `` series of ministatues published by Four Horsemen Studios .,1,mosquitor designed neca part series 6 master universe series ministatues released four horseman studio,mosquitor designed neca part series 6 master universe series ministatues published four horseman studio
521915,"On June 27 , 2013 Edgar was listed as a member of Colin Miller 's confirmed 23-man squad for the 2013 CONCACAF Gold Cup .","On 27 June 2013 , Edgar was confirmed as a member of Colin Miller 's listed 23-man team for CONCACAF Gold Cup 2013 .",0,june 27 2013 edgar listed member colin miller confirmed 23man squad 2013 concacaf gold cup,27 june 2013 edgar confirmed member colin miller listed 23man team concacaf gold cup 2013
176301,Adam refuses and accuses Katie of still having feelings for Andy .,Andy refuses and accuses Adam of having still feelings for catie .,0,adam refuse accuses katie still feeling andy,andy refuse accuses adam still feeling catie
460902,"EMP is independent of the modelling language used , but is currently only implemented in GAMS .",EMP is independent of the modeling language used but currently it is implemented only in GAMS .,1,emp independent modelling language used currently implemented gam,emp independent modeling language used currently implemented gam
313820,"In 1875 , Henry Davis bought a lot and , Robert Gervase Alford , son of the Bishop of Victoria also applied for a lot on the Peak .","In 1875 , Henry Davis bought a lot and Robert Gervase Alford , the son of the bishop of Victoria , also applied a lot on the summit .",1,1875 henry davis bought lot robert gervase alford son bishop victoria also applied lot peak,1875 henry davis bought lot robert gervase alford son bishop victoria also applied lot summit
482194,"In addition to the standard enrichment class , optional programs are available .","In addition to the optional enrichment class , there are standard programs available .",0,addition standard enrichment class optional program available,addition optional enrichment class standard program available
506124,Fernando Meirelles said in September 2015 that the ceremony would be a vision of the country `` and what I hope it will become `` .,Fernando Meirelles said in September 2015 that the ceremony is a vision of the country `` and what I hope that it will be `` .,1,fernando meirelles said september 2015 ceremony would vision country hope become,fernando meirelles said september 2015 ceremony vision country hope
377350,Naama showed three southern habitats with numerous animal bones and disappeared in favor of the Paleolithic .,Naama showed three Paleolithic habitats with numerous animal bones and disappeared in favor of the southern highway .,0,naama showed three southern habitat numerous animal bone disappeared favor paleolithic,naama showed three paleolithic habitat numerous animal bone disappeared favor southern highway
147407,"Bednarz studied Slawistic , Theatre Studies and Eastern European History at universities in Hamburg , Vienna and Moscow .","Bednarz studied Slavic studies , theatre and Eastern European history at universities in Hamburg , Vienna and Moscow .",1,bednarz studied slawistic theatre study eastern european history university hamburg vienna moscow,bednarz studied slavic study theatre eastern european history university hamburg vienna moscow
566580,"The inhabitants of Cameron Park attend primarily schools in EDH , but also the following schools from Sacramento to El Dorado Hills .",Residents of El Dorado Hills primarily attend schools in EDH but also include the following schools from Cameron Park to Sacramento .,0,inhabitant cameron park attend primarily school edh also following school sacramento el dorado hill,resident el dorado hill primarily attend school edh also include following school cameron park sacramento
472550,"Because Thornburgh was raised locally , all funds had to be channelled through the school and the community .","Because Thornburgh was locally run , all funds had to be raised through the school and the community .",0,thornburgh raised locally fund channelled school community,thornburgh locally run fund raised school community
282143,He died at home in St Andrews on 12 June 1952 and was buried in the eastern cemetery close to the main lower entrance gate .,He died at home in St Andrews on 12 June 1952 and was buried in the main cemetery near the eastern entrance gate .,0,died home st andrew 12 june 1952 buried eastern cemetery close main lower entrance gate,died home st andrew 12 june 1952 buried main cemetery near eastern entrance gate
361614,Dunellen is located in the 22nd Congressional District and is part of the 12th State Legislative District of New Jersey .,Dunellen is located in the 12th Congressional District and is part of New Jersey 's 22nd state legislative district .,0,dunellen located 22nd congressional district part 12th state legislative district new jersey,dunellen located 12th congressional district part new jersey 22nd state legislative district
544326,"Your second album `` Virgin `` ( 1969 ) , all original material contains Peruvian Psychedelia - Hit `` Meshkalina `` .","Their second album `` Virgin `` ( 1969 ) , all Peruvian material contains original Psychedelia hit , `` Meshkalina `` .",0,second album virgin 1969 original material contains peruvian psychedelia hit meshkalina,second album virgin 1969 peruvian material contains original psychedelia hit meshkalina
614552,"Roxton Falls is a village community in Acton Regional County Municipality , in the Canadian province of Quebec City .","Acton Regional County Municipality is a village municipality in Roxton Falls , in the Canadian province of Quebec .",0,roxton fall village community acton regional county municipality canadian province quebec city,acton regional county municipality village municipality roxton fall canadian province quebec
116393,"The city borders the municipalities of the Bethlehem Township Lebanon Township , Hampton Borough and Hunterdon County .","The borough borders the Bethlehem Township municipalities of Lebanon Township , Hampton Borough and Hunterdon County .",1,city border municipality bethlehem township lebanon township hampton borough hunterdon county,borough border bethlehem township municipality lebanon township hampton borough hunterdon county
568828,"This gives the family its scientific name , from the Greek `` embios `` meaning `` persistent `` and `` tokos `` meaning `` birth `` .","This gives the family its scientific name , from persistent `` embios `` meaning `` Greek `` and `` tokos `` meaning `` birth `` .",0,give family scientific name greek embios meaning persistent tokos meaning birth,give family scientific name persistent embios meaning greek tokos meaning birth
630886,Ruslan touches Ludmila 's face with the ring and she awakens . Vladimir gives the couple his blessing . Ruslan forgives both Farlaf and Chernomor .,"Ruslan touches Ludmila 's face with the ring and she awakes , Vladimir gives his blessing to the couple and Ruslan forgives both Farlaf and Chernomor .",1,ruslan touch ludmila face ring awakens vladimir give couple blessing ruslan forgives farlaf chernomor,ruslan touch ludmila face ring awakes vladimir give blessing couple ruslan forgives farlaf chernomor
496170,"The EPDP gained control of nine local authorities , DPLF ( PLOTE ) three , TULF one and TELO one .","The EPDP gained control of nine local authorities , PLOTE ( DPLF ) three , TULF and TELO .",0,epdp gained control nine local authority dplf plote three tulf one telo one,epdp gained control nine local authority plote dplf three tulf telo
370599,Howie decided to nominate Ivette and Janelle on day 64 for eviction .,"On Day 64 , Howie chose to nominate Ivette and Janelle for eviction .",1,howie decided nominate ivette janelle day 64 eviction,day 64 howie chose nominate ivette janelle eviction
585843,The Kastri culture refers to a `` cultural `` dating system used for the Cycladic culture that flourished during the early Bronze Age in Greece .,The Kastri culture refers to a `` Cycladic `` dating system that is used for the cultural culture that thrived in Greece during the early Bronze Age .,0,kastri culture refers cultural dating system used cycladic culture flourished early bronze age greece,kastri culture refers cycladic dating system used cultural culture thrived greece early bronze age
290052,"was the great-grandson of Jonathan Hunt and his wife Mary Webster , daughter of the governor John Webster of Connecticut Colony .","Hunt was the great-great-grandson of Jonathan Hunt and his wife Mary Webster , daughter of Governor John Webster of the Connecticut Colony .",1,greatgrandson jonathan hunt wife mary webster daughter governor john webster connecticut colony,hunt greatgreatgrandson jonathan hunt wife mary webster daughter governor john webster connecticut colony
105717,They were Sherwood B. Hawley of Bedford and Larry S. Walters of Hollidaysburg .,They were Larry S. Walters of Bedford and Sherwood B. Hawley from Hollidaysburg .,0,sherwood b hawley bedford larry walter hollidaysburg,larry walter bedford sherwood b hawley hollidaysburg
244992,"W. W. Denslow gave Frank $ 1,000 to validate the contract , and the signing of the contract was witnessed by Maud and Ann Waters .","Maud gave Frank $ 1,000 to approve the contract , and the signing of the contract was witnessed by W. W. Denslow and Ann Waters .",0,w w denslow gave frank 1000 validate contract signing contract witnessed maud ann water,maud gave frank 1000 approve contract signing contract witnessed w w denslow ann water
68254,"His other brother , Edward Thomas Hutton ( -1849 ) , was father of Sir Edward Hutton KCMG .","His other brother , Edward Hutton KCMG ( -1849 ) , was the father of Sir Edward Thomas Hutton .",0,brother edward thomas hutton 1849 father sir edward hutton kcmg,brother edward hutton kcmg 1849 father sir edward thomas hutton
599111,Born in 1898 in the Mount Auburn district of Cincinnati .,Adam was born in the Mount Auburn district of Cincinnati in 1898 .,1,born 1898 mount auburn district cincinnati,adam born mount auburn district cincinnati 1898
365465,He adorned two golden arms and made it in place of his lost hands .,He adorned two golden arms and made it his place of the lost hands .,1,adorned two golden arm made place lost hand,adorned two golden arm made place lost hand
41418,"Two weeks later , Victor himself conquered himself when he finally defeated Blake at the Battle of Espinosa .",Blake redeemed himself two weeks later when he finally defeated Victor at the Battle of Espinosa .,0,two week later victor conquered finally defeated blake battle espinosa,blake redeemed two week later finally defeated victor battle espinosa
366338,"It is found in Colombia and Ecuador , and has also an isolated population in Venezuela .","It is found in Colombia and Venezuela , and also has an isolated population in Ecuador .",0,found colombia ecuador also isolated population venezuela,found colombia venezuela also isolated population ecuador
287542,"Using this method , the canonical disjunctive normal form ( a fully expanded disjunctive normal form ) is computed first .","Using this method , the first canonical disjunctive normal form ( a fully expanded disjunctive normal form ) is calculated .",1,using method canonical disjunctive normal form fully expanded disjunctive normal form computed first,using method first canonical disjunctive normal form fully expanded disjunctive normal form calculated
544045,"In the victory , No Limit became the first team to have given both heavyweight - heavyweight - and junior - IWGP Tag Team Championships .","In victory , No Limit became the first ever team to have held both the junior heavyweight and heavyweight IWGP Tag Team Championships .",0,victory limit became first team given heavyweight heavyweight junior iwgp tag team championship,victory limit became first ever team held junior heavyweight heavyweight iwgp tag team championship
231771,This allows for the sample preparation to be minimal if one is willing to adjust the mobile phase or stationary phase before running the sample .,This allows the sample preparation to be minimal if you are willing to adjust the mobile phase or stationary phase before the sample is running .,1,allows sample preparation minimal one willing adjust mobile phase stationary phase running sample,allows sample preparation minimal willing adjust mobile phase stationary phase sample running
627265,Newington was a parliamentary constituency in the Newington West area of South London .,Newington was a parliamentary constituency in the area of the Newington West of South London .,1,newington parliamentary constituency newington west area south london,newington parliamentary constituency area newington west south london
42356,The German inhabitants of the settlement were conquered by the Latgalian crusaders of the Livonian Order in 1342 .,The Latgale inhabitants of the settlement were conquered in 1342 by the German crusaders of the Livonian Order .,0,german inhabitant settlement conquered latgalian crusader livonian order 1342,latgale inhabitant settlement conquered 1342 german crusader livonian order
55849,The family Chelidae contains about 60 species within around twenty genera :,The Chelidae family contains around 60 species within about twenty species :,1,family chelidae contains 60 specie within around twenty genus,chelidae family contains around 60 specie within twenty specie
597745,The Cypriot fourth division 2000 -- 01 was the 16th season of the Cypriot fourth league league football .,The 2000 -- 01 Cypriot Fourth Division was the Cypriot fourth season of the 16th-level football league .,0,cypriot fourth division 2000 01 16th season cypriot fourth league league football,2000 01 cypriot fourth division cypriot fourth season 16thlevel football league
421724,"The music was written by Khemchand Prakash with texts by Kidar Sharma , and a song by Swami Ramanand Saraswati and Pandit Indra composed .","The music was composed by Khemchand Prakash with lyrics by Kidar Sharma , and a song written each by Swami Ramanand Saraswati and Pandit Indra .",0,music written khemchand prakash text kidar sharma song swami ramanand saraswati pandit indra composed,music composed khemchand prakash lyric kidar sharma song written swami ramanand saraswati pandit indra
516450,"Frontenac , a clever and experienced officer , reached Montreal on October 14 from Quebec .","Frontenac , a shrewd and experienced officer , reached Quebec from Montreal on 14 October .",0,frontenac clever experienced officer reached montreal october 14 quebec,frontenac shrewd experienced officer reached quebec montreal 14 october
559316,"Three hours later , the JMA downgraded Damrey to a tropical storm , then to a severe tropical storm .","Three hours later , the JMA Damrey ran down to a severe tropical storm , then to a tropical storm .",0,three hour later jma downgraded damrey tropical storm severe tropical storm,three hour later jma damrey ran severe tropical storm tropical storm
345645,"For example , every reflexive function on the unit ball of a convex continuous space attains its minimum at some point in .","For example , every reflexive function in the unit ball of a convex continuous space at some point reaches its minimum in .",1,example every reflexive function unit ball convex continuous space attains minimum point,example every reflexive function unit ball convex continuous space point reach minimum
365043,Connie Wright ( played by Terri Lynn Hall ) is a government agent pretending to be a Christian .,Terri Lynn Hall ( played by Connie Wright ) is a government agent that pretends to be a Christian .,0,connie wright played terri lynn hall government agent pretending christian,terri lynn hall played connie wright government agent pretend christian
376111,Shendrik is a product of his sportive city SC Tavriya Simferopol youth native school system .,Shendrik is a product of its sportive city SC Tavriya Simferopol Youth native school system .,1,shendrik product sportive city sc tavriya simferopol youth native school system,shendrik product sportive city sc tavriya simferopol youth native school system
189370,"The polar view is that anthroposophically , the balance between two good influences on world and human evolution is found .",The polar view is that anthroposophical is found in the balance between two good influences on world and human evolution .,1,polar view anthroposophically balance two good influence world human evolution found,polar view anthroposophical found balance two good influence world human evolution
102025,"Credit card numbers , online data , account information and records of private financial transactions can be accessed by most willing persons .","Credit card numbers , private financial data , account information and records of online transactions can be accessed by most willing individuals .",0,credit card number online data account information record private financial transaction accessed willing person,credit card number private financial data account information record online transaction accessed willing individual
93649,The tail surfaces had dural frames and were fabric covered .,The tail 's surfaces had dural frames and were covered with fabric .,1,tail surface dural frame fabric covered,tail surface dural frame covered fabric
150442,The SEPTA City Bus Route 22 begins in Warminster and leads via Willow Grove south to the Olney Transportation Center in North - Philadelphia .,SEPTA City Bus Route 22 begins in North Philadelphia and heads south to Olney Transportation Center in Willow Grove via Warminster .,0,septum city bus route 22 begin warminster lead via willow grove south olney transportation center north philadelphia,septum city bus route 22 begin north philadelphia head south olney transportation center willow grove via warminster
38956,"Alessio Sartori ( born November 13 , 1976 ) is an Olympic competition - Rower and Italian champion .",Alessio Sartori ( born 13 November 1976 ) is an Olympic competition rower and Italian champion .,1,alessio sartori born november 13 1976 olympic competition rower italian champion,alessio sartori born 13 november 1976 olympic competition rower italian champion
285478,Hooper then left and Phil Davies ( bass ) also joined the band .,So also Ho Hooper and Phil Davies ( bass ) left then joined the band .,0,hooper left phil davy bass also joined band,also ho hooper phil davy bass left joined band
158716,"Mary Hopkin played acoustic guitar on the record , and Paul McCartney also played acoustic guitar and possibly percussion .","Mary Hopkin played acoustic guitar on the recording , and Paul McCartney also played acoustic guitar and possibly percussion .",1,mary hopkin played acoustic guitar record paul mccartney also played acoustic guitar possibly percussion,mary hopkin played acoustic guitar recording paul mccartney also played acoustic guitar possibly percussion
276773,"Keeper of My Soul is an album run by pianist Walter Bishop Jr. , which was released in 1973 and was originally recorded on the black jazz label .",Keeper of My Soul is an album led by pianist Walter Bishop Jr. which was recorded in 1973 and originally released on the Black Jazz label .,0,keeper soul album run pianist walter bishop jr released 1973 originally recorded black jazz label,keeper soul album led pianist walter bishop jr recorded 1973 originally released black jazz label
158369,He called Hill and asked him if he would make the film with Nick Nolte as cates .,Hill called Cates and asked him if he would make the film with Nick Nolte as Gordon .,0,called hill asked would make film nick nolte cates,hill called cates asked would make film nick nolte gordon
287796,"He represented Baldwin County , Georgia , Hancock County , Georgia , Washington County , Georgia .","He represented Hancock County , Georgia , Baldwin County , Georgia , and Washington County , Georgia .",0,represented baldwin county georgia hancock county georgia washington county georgia,represented hancock county georgia baldwin county georgia washington county georgia
222573,He and Richard D. Zanuck and David Brown left MGM and took the script to Universal Pictures where they had an agreement with Spielberg .,"He and Richard D. Zanuck and David Brown left MGM and brought the script to Universal Pictures , where they had agreement with Spielberg .",1,richard zanuck david brown left mgm took script universal picture agreement spielberg,richard zanuck david brown left mgm brought script universal picture agreement spielberg
615339,"Whatstandwell is a village on the River Derwent in the Amber Valley district of Derbyshire , England .","Whatstandwell is a village on the Derwent River in Derbyshire , England , in the Amber Valley district .",1,whatstandwell village river derwent amber valley district derbyshire england,whatstandwell village derwent river derbyshire england amber valley district
113804,"Less than three years after the organization of Hall County on December 15 , 1818 , Mule Camp Springs was renamed in `` Gainesville `` on April 21 , 1821 .","Less than three years after the organization of Hall County on December 15 , 1818 , Mule Camp Springs was renamed `` Gainesville `` on April 21 , 1821 .",1,less three year organization hall county december 15 1818 mule camp spring renamed gainesville april 21 1821,less three year organization hall county december 15 1818 mule camp spring renamed gainesville april 21 1821
159484,"He was born in France , but as a youth moved to Trenton , New Jersey .","He was born in France , but moved to Trenton , New Jersey as a youth .",1,born france youth moved trenton new jersey,born france moved trenton new jersey youth
350248,"is an album by jazz saxophonist Lloyd , recorded in May 1998 by Charles Lloyd with John Abercrombie , Dave Holland and Billy Higgins .","Voice in the Night is an album by jazz saxophonist Lloyd recorded in May 1998 by Charles Lloyd with John Abercrombie , Dave Holland and Billy Higgins .",1,album jazz saxophonist lloyd recorded may 1998 charles lloyd john abercrombie dave holland billy higgins,voice night album jazz saxophonist lloyd recorded may 1998 charles lloyd john abercrombie dave holland billy higgins
86810,The third theme is mostly quarter and eighth notes with irregular accompaniment .,The eighth theme is mostly quarter and third notes with an irregular accompaniment .,0,third theme mostly quarter eighth note irregular accompaniment,eighth theme mostly quarter third note irregular accompaniment
257048,Tucker was very much aware that Soviet ideology could divide or unify leading party officials and weaken or strengthen party discipline .,Tucker was keenly aware that Soviet ideology could weaken or strengthen leading party officials and could divide or unify party discipline .,0,tucker much aware soviet ideology could divide unify leading party official weaken strengthen party discipline,tucker keenly aware soviet ideology could weaken strengthen leading party official could divide unify party discipline
205650,Sanghe Jagir is a village in Nakodar Nakodar is a tehsil in the town of Jalandhar of the Indian state of Punjab .,Sanghe Jagir is a village in Jalandhar . Nakodar is a tehsil in the city Nakodar of Indian state of Punjab .,0,sanghe jagir village nakodar nakodar tehsil town jalandhar indian state punjab,sanghe jagir village jalandhar nakodar tehsil city nakodar indian state punjab
125989,Vimrod is a cartoon character created by Lisa Swerling 's Ralph Lazar .,Vimrod is a cartoon character created by Lisa Swerling & Ralph Lazar .,1,vimrod cartoon character created lisa swerling ralph lazar,vimrod cartoon character created lisa swerling ralph lazar
391256,The mango plantations of Lucknow were developed by Pathans under the royal patronage of Nawabs of Malihabad .,"The mango plantations of Lucknow were developed by Pathans , under the royal patronage of the Nawabs of Malihabad .",1,mango plantation lucknow developed pathan royal patronage nawab malihabad,mango plantation lucknow developed pathan royal patronage nawab malihabad
